technique,legacy_technique,name,tactic,revoked,data_sources$
T1546.004,T1156,.bash_profile and .bashrc,TA0004;TA0003,false,Process use of network;Process command-line parameters;Process monitoring;File monitoring$
T1003.008,,/etc/passwd and /etc/shadow,TA0006,false,$
T1557.002,,ARP Cache Poisoning,TA0006;TA0009,false,Packet capture;Netflow/Enclave netflow$
T1558.004,,AS-REP Roasting,TA0006,false,Windows event logs;Authentication logs$
T1548,,Abuse Elevation Control Mechanism,TA0004;TA0005,false,Windows Registry;File monitoring;Process command-line parameters;API monitoring;Process monitoring$
T1134,,Access Token Manipulation,TA0005;TA0004,false,Authentication logs;Windows event logs;API monitoring;Access tokens;Process monitoring;Process command-line parameters$
T1546.008,T1015,Accessibility Features,TA0004;TA0003,false,Process command-line parameters;Process monitoring;File monitoring;Windows Registry$
T1531,,Account Access Removal,TA0040,false,Windows event logs;Process command-line parameters;Process monitoring$
T1087,,Account Discovery,TA0007,false,Azure activity logs;Office 365 account logs;API monitoring;Process monitoring;Process command-line parameters$
T1098,,Account Manipulation,TA0003,false,Authentication logs;Windows event logs$
T1583,,Acquire Infrastructure,TA0042,false,$
T1595,,Active Scanning,TA0043,false,Packet capture;Network device logs$
T1098.003,,Add Office 365 Global Administrator Role,TA0003,false,Office 365 audit logs$
T1137.006,,Add-ins,TA0003,false,Process command-line parameters;File monitoring;Windows Registry;Process monitoring$
T1546.009,T1182,AppCert DLLs,TA0004;TA0003,false,Windows Registry;Process command-line parameters;Process monitoring;Loaded DLLs$
T1546.010,T1103,AppInit DLLs,TA0004;TA0003,false,Windows Registry;Process command-line parameters;Process monitoring;Loaded DLLs$
T1059.002,T1155,AppleScript,TA0002,false,API monitoring;Process monitoring;Process command-line parameters$
T1550.001,T1527,Application Access Token,TA0005;TA0008,false,Office 365 audit logs;OAuth audit logs$
T1499.003,,Application Exhaustion Flood,TA0040,false,Network device logs;Network device logs;Network intrusion detection system;Web application firewall logs;Web logs;SSL/TLS inspection$
T1071,,Application Layer Protocol,TA0011,false,DNS records;Network protocol analysis;Packet capture;Netflow/Enclave netflow;Process use of network;Process monitoring$
T1546.011,T1138,Application Shimming,TA0004;TA0003,false,Process command-line parameters;Process monitoring;Windows Registry$
T1010,,Application Window Discovery,TA0007,false,API monitoring;Process monitoring;Process command-line parameters$
T1499.004,,Application or System Exploitation,TA0040,false,Network device logs;Network intrusion detection system;Web application firewall logs;Web logs;SSL/TLS inspection$
T1560,,Archive Collected Data,TA0009,false,Process monitoring;Process command-line parameters;File monitoring;Binary file metadata$
T1560.003,,Archive via Custom Method,TA0009,false,$
T1560.002,,Archive via Library,TA0009,false,Process monitoring;Process command-line parameters$
T1560.001,,Archive via Utility,TA0009,false,Process monitoring;Process command-line parameters;File monitoring;Binary file metadata$
T1573.002,,Asymmetric Cryptography,TA0011,false,Process monitoring;Process use of network;Malware reverse engineering;Netflow/Enclave netflow;Packet capture$
T1055.004,,Asynchronous Procedure Call,TA0005;TA0004,false,Process monitoring;API monitoring$
T1053.001,,At (Linux),TA0002;TA0003;TA0004,false,Process command-line parameters;Process monitoring$
T1053.002,,At (Windows),TA0002;TA0003;TA0004,false,File monitoring;Process command-line parameters;Process monitoring;Windows event logs$
T1123,,Audio Capture,TA0009,false,API monitoring;Process monitoring;File monitoring$
T1547.002,T1131,Authentication Package,TA0003;TA0004,false,DLL monitoring;Windows Registry;Loaded DLLs$
T1119,,Automated Collection,TA0009,false,File monitoring;Data loss prevention;Process command-line parameters$
T1020,,Automated Exfiltration,TA0010,false,File monitoring;Process monitoring;Process use of network$
T1197,,BITS Jobs,TA0005;TA0003,false,Process monitoring;Process command-line parameters;Packet capture;Windows event logs$
T1552.003,T1139,Bash History,TA0006,false,Process command-line parameters;Process monitoring;File monitoring$
T1102.002,,Bidirectional Communication,TA0011,false,Host network interface;Netflow/Enclave netflow;Network protocol analysis;Packet capture;SSL/TLS inspection$
T1027.001,T1009,Binary Padding,TA0005,false,Process monitoring;Binary file metadata;File monitoring;Malware reverse engineering$
T1547,,Boot or Logon Autostart Execution,TA0003;TA0004,false,$
T1037,,Boot or Logon Initialization Scripts,TA0003;TA0004,false,File monitoring;Process monitoring$
T1542.003,T1067,Bootkit,TA0003;TA0005,false,VBR;MBR;API monitoring$
T1583.005,,Botnet,TA0042,false,$
T1584.005,,Botnet,TA0042,false,$
T1217,,Browser Bookmark Discovery,TA0007,false,API monitoring;File monitoring;Process command-line parameters;Process monitoring$
T1176,,Browser Extensions,TA0003,false,Windows Registry;File monitoring;Process use of network;Process monitoring;Browser extensions$
T1110,,Brute Force,TA0006,false,Office 365 account logs;Authentication logs$
T1591.002,,Business Relationships,TA0043,false,$
T1548.002,T1088,Bypass User Account Control,TA0004;TA0005,false,Windows Registry;Process command-line parameters;Process monitoring$
T1596.004,,CDNs,TA0043,false,$
T1218.003,T1191,CMSTP,TA0005,false,Windows event logs;Process use of network;Process command-line parameters;Process monitoring$
T1574.012,,COR_PROFILER,TA0003;TA0004;TA0005,false,Windows Registry;File monitoring;Process monitoring;Process command-line parameters$
T1003.005,,Cached Domain Credentials,TA0006,false,PowerShell logs;Process command-line parameters;Process monitoring$
T1546.001,T1042,Change Default File Association,TA0004;TA0003,false,Process command-line parameters;Process monitoring;Windows Registry$
T1070.003,T1146,Clear Command History,TA0005,false,Process command-line parameters;PowerShell logs;File monitoring;Authentication logs$
T1070.002,,Clear Linux or Mac System Logs,TA0005,false,Process command-line parameters;Process monitoring;File monitoring$
T1070.001,,Clear Windows Event Logs,TA0005,false,API monitoring;Process command-line parameters;Process monitoring;File monitoring$
T1592.004,,Client Configurations,TA0043,false,$
T1115,,Clipboard Data,TA0009,false,API monitoring$
T1136.003,,Cloud Account,TA0003,false,Office 365 audit logs;Stackdriver logs;Azure activity logs;AWS CloudTrail logs$
T1087.004,,Cloud Account,TA0007,false,Stackdriver logs;AWS CloudTrail logs;Azure activity logs;Office 365 account logs;Process monitoring;Process command-line parameters$
T1078.004,,Cloud Accounts,TA0005;TA0003;TA0004;TA0001,false,Azure activity logs;Authentication logs;AWS CloudTrail logs;Stackdriver logs$
T1069.003,,Cloud Groups,TA0007,false,GCP audit logs;Stackdriver logs;AWS CloudTrail logs;Azure activity logs;Office 365 account logs;API monitoring;Process monitoring;Process command-line parameters$
T1580,,Cloud Infrastructure Discovery,TA0007,false,GCP audit logs;Stackdriver logs;AWS CloudTrail logs;Azure activity logs$
T1552.005,T1522,Cloud Instance Metadata API,TA0006,false,Authentication logs;AWS CloudTrail logs;Azure activity logs$
T1538,,Cloud Service Dashboard,TA0007,false,Office 365 audit logs;Azure activity logs;Stackdriver logs;AWS CloudTrail logs$
T1526,,Cloud Service Discovery,TA0007,false,Azure activity logs;Stackdriver logs;AWS CloudTrail logs$
T1553.002,T1116,Code Signing,TA0005,false,Binary file metadata$
T1587.002,,Code Signing Certificates,TA0042,false,$
T1588.003,,Code Signing Certificates,TA0042,false,$
T1059,,Command and Scripting Interpreter,TA0002,false,Windows event logs;PowerShell logs;Process monitoring;Process command-line parameters$
T1043,,Commonly Used Port,TA0011,false,Packet capture;Netflow/Enclave netflow;Process use of network;Process monitoring$
T1092,,Communication Through Removable Media,TA0011,false,File monitoring;Data loss prevention$
T1027.004,T1500,Compile After Delivery,TA0005,false,File monitoring;Process command-line parameters;Process monitoring$
T1218.001,T1223,Compiled HTML File,TA0005,false,Process command-line parameters;Process monitoring;File monitoring$
T1542.002,T1109,Component Firmware,TA0003;TA0005,false,Component firmware;Process monitoring;Disk forensics;API monitoring$
T1559.001,,Component Object Model,TA0002,false,Process monitoring;DLL monitoring$
T1546.015,T1122,Component Object Model Hijacking,TA0004;TA0003,false,Process command-line parameters;Process monitoring;Loaded DLLs;DLL monitoring;Windows Registry$
T1175,,Component Object Model and Distributed COM,TA0008;TA0002,false,PowerShell logs;API monitoring;Authentication logs;DLL monitoring;Packet capture;Process monitoring;Windows Registry;Windows event logs$
T1586,,Compromise Accounts,TA0042,false,Social media monitoring$
T1554,,Compromise Client Software Binary,TA0003,false,Process monitoring;Binary file metadata$
T1195.003,,Compromise Hardware Supply Chain,TA0001,false,Component firmware;BIOS;Disk forensics;EFI$
T1584,,Compromise Infrastructure,TA0042,false,$
T1195.001,,Compromise Software Dependencies and Development Tools,TA0001,false,File monitoring;Web proxy$
T1195.002,,Compromise Software Supply Chain,TA0001,false,File monitoring;Web proxy$
T1213.001,,Confluence,TA0009,false,Third-party application logs;Authentication logs$
T1218.002,,Control Panel,TA0005,false,Process monitoring;Process command-line parameters;Windows Registry;DLL monitoring;Binary file metadata;API monitoring$
T1136,,Create Account,TA0003,false,Office 365 account logs;Azure activity logs;AWS CloudTrail logs;Process monitoring;Process command-line parameters;Authentication logs;Windows event logs$
T1578.002,,Create Cloud Instance,TA0005,false,GCP audit logs;Stackdriver logs;Azure activity logs;AWS CloudTrail logs$
T1134.002,,Create Process with Token,TA0005;TA0004,false,Process command-line parameters;Process monitoring;Access tokens;API monitoring$
T1578.001,,Create Snapshot,TA0005,false,GCP audit logs;Stackdriver logs;Azure activity logs;AWS CloudTrail logs$
T1543,,Create or Modify System Process,TA0003;TA0004,false,Windows event logs;Windows Registry;File monitoring;Process command-line parameters;Process monitoring$
T1056.004,,Credential API Hooking,TA0009;TA0006,false,Windows event logs;Process monitoring;Loaded DLLs;DLL monitoring;Binary file metadata;API monitoring$
T1110.004,,Credential Stuffing,TA0006,false,Authentication logs;Office 365 account logs$
T1589.001,,Credentials,TA0043,false,$
T1552.001,,Credentials In Files,TA0006,false,Process command-line parameters;File monitoring$
T1555,,Credentials from Password Stores,TA0006,false,PowerShell logs;API monitoring;File monitoring;Process monitoring;System calls$
T1555.003,T1503,Credentials from Web Browsers,TA0006,false,File monitoring;API monitoring;PowerShell logs;Process monitoring$
T1552.002,T1214,Credentials in Registry,TA0006,false,Process command-line parameters;Process monitoring;Windows Registry$
T1053.003,,Cron,TA0002;TA0003;TA0004,false,Process command-line parameters;Process monitoring$
T1003.006,,DCSync,TA0006,false,Windows event logs$
T1574.001,T1038,DLL Search Order Hijacking,TA0003;TA0004;TA0005,false,Process command-line parameters;Process monitoring;DLL monitoring;File monitoring$
T1574.002,T1073,DLL Side-Loading,TA0003;TA0004;TA0005,false,Loaded DLLs;Process monitoring;Process use of network$
T1071.004,,DNS,TA0011,false,Netflow/Enclave netflow;DNS records;Process monitoring;Process use of network;Packet capture$
T1590.002,,DNS,TA0043,false,$
T1568.003,,DNS Calculation,TA0011,false,DNS records$
T1583.002,,DNS Server,TA0042,false,$
T1584.002,,DNS Server,TA0042,false,$
T1596.001,,DNS/Passive DNS,TA0043,false,$
T1485,,Data Destruction,TA0040,false,File monitoring;Process command-line parameters;Process monitoring$
T1132,,Data Encoding,TA0011,false,Packet capture;Process use of network;Process monitoring;Network protocol analysis$
T1486,,Data Encrypted for Impact,TA0040,false,Kernel drivers;File monitoring;Process command-line parameters;Process monitoring$
T1565,,Data Manipulation,TA0040,false,Packet capture;Network protocol analysis;File monitoring;Application logs$
T1001,,Data Obfuscation,TA0011,false,Packet capture;Process use of network;Process monitoring;Network protocol analysis$
T1074,,Data Staged,TA0009,false,File monitoring;Process monitoring;Process command-line parameters$
T1030,,Data Transfer Size Limits,TA0010,false,Packet capture;Netflow/Enclave netflow;Process use of network;Process monitoring$
T1530,,Data from Cloud Storage Object,TA0009,false,Stackdriver logs;Azure activity logs;AWS CloudTrail logs$
T1602,,Data from Configuration Repository,TA0009,false,Netflow/Enclave netflow;Network protocol analysis;Packet capture$
T1213,,Data from Information Repositories,TA0009,false,OAuth audit logs;Application logs;Authentication logs;Data loss prevention;Third-party application logs$
T1005,,Data from Local System,TA0009,false,File monitoring;Process monitoring;Process command-line parameters$
T1039,,Data from Network Shared Drive,TA0009,false,File monitoring;Process monitoring;Process command-line parameters$
T1025,,Data from Removable Media,TA0009,false,File monitoring;Process monitoring;Process command-line parameters$
T1102.001,,Dead Drop Resolver,TA0011,false,Host network interface;Netflow/Enclave netflow;Network protocol analysis;Packet capture;SSL/TLS inspection$
T1491,,Defacement,TA0040,false,Packet capture;Web application firewall logs;Web logs;Packet capture$
T1078.001,,Default Accounts,TA0005;TA0003;TA0004;TA0001,false,AWS CloudTrail logs;Stackdriver logs;Authentication logs;Process monitoring$
T1578.003,,Delete Cloud Instance,TA0005,false,GCP audit logs;Stackdriver logs;Azure activity logs;AWS CloudTrail logs$
T1140,,Deobfuscate/Decode Files or Information,TA0005,false,File monitoring;Process monitoring;Process command-line parameters$
T1591.001,,Determine Physical Locations,TA0043,false,$
T1587,,Develop Capabilities,TA0042,false,$
T1587.003,,Digital Certificates,TA0042,false,SSL/TLS certificates$
T1588.004,,Digital Certificates,TA0042,false,SSL/TLS certificates$
T1596.003,,Digital Certificates,TA0043,false,$
T1498.001,,Direct Network Flood,TA0040,false,Sensor health and status;Network protocol analysis;Netflow/Enclave netflow;Network intrusion detection system;Network device logs$
T1006,,Direct Volume Access,TA0005,false,API monitoring$
T1562.008,,Disable Cloud Logs,TA0005,false,AWS CloudTrail logs;Azure activity logs;GCP audit logs$
T1600.002,,Disable Crypto Hardware,TA0005,false,File monitoring$
T1562.002,,Disable Windows Event Logging,TA0005,false,Process monitoring;Windows event logs;Process command-line parameters$
T1562.007,,Disable or Modify Cloud Firewall,TA0005,false,Stackdriver logs;GCP audit logs;Azure activity logs;AWS CloudTrail logs$
T1562.004,,Disable or Modify System Firewall,TA0005,false,File monitoring;Process command-line parameters;Windows Registry$
T1562.001,,Disable or Modify Tools,TA0005,false,Process command-line parameters;Windows Registry;Services;File monitoring$
T1561.001,T1488,Disk Content Wipe,TA0040,false,Kernel drivers;Process monitoring;Process command-line parameters$
T1561.002,T1487,Disk Structure Wipe,TA0040,false,Kernel drivers;Process monitoring;Process command-line parameters$
T1561,,Disk Wipe,TA0040,false,Kernel drivers;Process monitoring;Process command-line parameters$
T1021.003,,Distributed Component Object Model,TA0008,false,Windows event logs;Windows Registry;Process monitoring;Packet capture;DLL monitoring;Authentication logs;API monitoring;PowerShell logs$
T1136.002,,Domain Account,TA0003,false,Process monitoring;Process command-line parameters;Authentication logs;Windows event logs$
T1087.002,,Domain Account,TA0007,false,API monitoring;Process monitoring;Process command-line parameters$
T1078.002,,Domain Accounts,TA0005;TA0003;TA0004;TA0001,false,Authentication logs;Process monitoring$
T1556.001,,Domain Controller Authentication,TA0006;TA0005,false,Authentication logs;API monitoring;DLL monitoring$
T1090.004,T1172,Domain Fronting,TA0011,false,SSL/TLS inspection;Packet capture$
T1568.002,T1483,Domain Generation Algorithms,TA0011,false,DNS records;Netflow/Enclave netflow;Network device logs;Packet capture;Process use of network$
T1069.002,,Domain Groups,TA0007,false,API monitoring;Process monitoring;Process command-line parameters$
T1590.001,,Domain Properties,TA0043,false,$
T1482,,Domain Trust Discovery,TA0007,false,PowerShell logs;API monitoring;Process command-line parameters;Process monitoring$
T1583.001,,Domains,TA0042,false,Domain registration$
T1584.001,,Domains,TA0042,false,$
T1601.002,,Downgrade System Image,TA0005,false,Network device configuration;File monitoring$
T1189,,Drive-by Compromise,TA0001,false,Packet capture;Network device logs;Process use of network;Web proxy;Network intrusion detection system;SSL/TLS inspection$
T1574.004,T1157,Dylib Hijacking,TA0003;TA0004;TA0005,false,Process monitoring;File monitoring$
T1559.002,T1173,Dynamic Data Exchange,TA0002,false,Process monitoring;DLL monitoring;File monitoring$
T1568,,Dynamic Resolution,TA0011,false,SSL/TLS inspection;Web logs;DNS records$
T1055.001,,Dynamic-link Library Injection,TA0005;TA0004,false,Process monitoring;DLL monitoring;File monitoring;API monitoring$
T1548.004,T1514,Elevated Execution with Prompt,TA0004;TA0005,false,API monitoring;Process monitoring;File monitoring$
T1087.003,,Email Account,TA0007,false,Office 365 account logs;Process monitoring;Process command-line parameters$
T1585.002,,Email Accounts,TA0042,false,$
T1586.002,,Email Accounts,TA0042,false,$
T1589.002,,Email Addresses,TA0043,false,$
T1114,,Email Collection,TA0009,false,Office 365 trace logs;Mail server;Email gateway;Authentication logs;File monitoring;Process monitoring;Process use of network$
T1114.003,,Email Forwarding Rule,TA0009,false,Process use of network;Process monitoring;Email gateway;Mail server;Office 365 trace logs$
T1546.014,T1519,Emond,TA0004;TA0003,false,File monitoring$
T1589.003,,Employee Names,TA0043,false,$
T1573,,Encrypted Channel,TA0011,false,SSL/TLS inspection;Process monitoring;Process use of network;Malware reverse engineering;Netflow/Enclave netflow;Packet capture$
T1499,,Endpoint Denial of Service,TA0040,false,SSL/TLS inspection;Web logs;Web application firewall logs;Network intrusion detection system;Network protocol analysis;Network device logs;Netflow/Enclave netflow$
T1480.001,,Environmental Keying,TA0005,false,Process monitoring$
T1585,,Establish Accounts,TA0042,false,Social media monitoring$
T1546,,Event Triggered Execution,TA0004;TA0003,false,API monitoring;Windows event logs;System calls;Binary file metadata;Process use of network;WMI Objects;File monitoring;Process command-line parameters;Process monitoring;Loaded DLLs;DLL monitoring;Windows Registry$
T1098.002,,Exchange Email Delegate Permissions,TA0003,false,Office 365 audit logs$
T1574.005,,Executable Installer File Permissions Weakness,TA0003;TA0004;TA0005,false,Process command-line parameters;File monitoring$
T1480,,Execution Guardrails,TA0005,false,Process monitoring$
T1048,,Exfiltration Over Alternative Protocol,TA0010,false,Process monitoring;Process use of network;Packet capture;Netflow/Enclave netflow;Network protocol analysis$
T1048.002,,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,TA0010,false,Network protocol analysis;Netflow/Enclave netflow;Packet capture;Process use of network$
T1011.001,,Exfiltration Over Bluetooth,TA0010,false,Process monitoring;User interface$
T1041,,Exfiltration Over C2 Channel,TA0010,false,Packet capture;Process use of network;Netflow/Enclave netflow;Process monitoring$
T1011,,Exfiltration Over Other Network Medium,TA0010,false,User interface;Process monitoring$
T1052,,Exfiltration Over Physical Medium,TA0010,false,Process monitoring;Data loss prevention;File monitoring$
T1048.001,,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,TA0010,false,Malware reverse engineering;Network protocol analysis;Netflow/Enclave netflow;Packet capture;Process use of network$
T1048.003,,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,TA0010,false,Network protocol analysis;Netflow/Enclave netflow;Packet capture;Process use of network$
T1567,,Exfiltration Over Web Service,TA0010,false,Process monitoring;Process use of network;Packet capture;Netflow/Enclave netflow;Network protocol analysis;SSL/TLS inspection$
T1052.001,,Exfiltration over USB,TA0010,false,Process monitoring;Data loss prevention;File monitoring$
T1567.002,,Exfiltration to Cloud Storage,TA0010,false,Process monitoring;Process use of network;Packet capture;Netflow/Enclave netflow;Network protocol analysis;SSL/TLS inspection$
T1567.001,,Exfiltration to Code Repository,TA0010,false,Process monitoring;Process use of network;Packet capture;Netflow/Enclave netflow;Network protocol analysis;SSL/TLS inspection$
T1190,,Exploit Public-Facing Application,TA0001,false,Azure activity logs;AWS CloudTrail logs;Stackdriver logs;Packet capture;Web logs;Web application firewall logs;Application logs$
T1203,,Exploitation for Client Execution,TA0002,false,Anti-virus;System calls;Process monitoring$
T1212,,Exploitation for Credential Access,TA0006,false,Authentication logs;Windows Error Reporting;Process monitoring$
T1211,,Exploitation for Defense Evasion,TA0005,false,Windows Error Reporting;Process monitoring;File monitoring$
T1068,,Exploitation for Privilege Escalation,TA0004,false,Windows Error Reporting;Process monitoring;Application logs$
T1210,,Exploitation of Remote Services,TA0008,false,Windows Error Reporting;Process monitoring;File monitoring$
T1587.004,,Exploits,TA0042,false,$
T1588.005,,Exploits,TA0042,false,$
T1491.002,,External Defacement,TA0040,false,Web logs;Web application firewall logs;Packet capture$
